,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
CHODL,0.0,0.0,0.0,-0.02587115,0.21428101
PPP4R1L,0.0,0.0,0.0,-0.02587115,0.21428101
NUDT14,0.0,0.0,0.0,-0.02587115,0.21428101
B4GALT1,0.0010939211,7.0,0.0010939211,0.0059758057,-0.72807175
B4GALT3,0.00042362255,6.0,0.00042362255,-0.013538371,-0.5995416
B4GALT2,0.0013574726,7.0,0.0013574726,0.013648491,-0.72494847
B4GALT5,0.003614462,2.0,0.003614462,0.079355456,-0.015831945
B4GALT4,-2.7844908e-06,2.0,-2.7844908e-06,-0.025952214,-0.05869964
B4GALT7,-4.7951903e-06,2.0,-4.7951903e-06,-0.026010752,-0.058723472
B4GALT6,1.1667001e-05,1.0,1.1667001e-05,-0.025531493,0.07794545
FCN3,0.0,0.0,0.0,-0.02587115,0.21428101
FCN2,0.0,0.0,0.0,-0.02587115,0.21428101
FCN1,0.0,0.0,0.0,-0.02587115,0.21428101
OR5L1,4.1307464e-07,1.0,4.1307464e-07,-0.025859125,0.077812076
OR5L2,1.541533e-07,1.0,1.541533e-07,-0.025866663,0.077809006
TRRAP,0.0002454595,1.0,0.0002454595,-0.018725172,0.0807161
LINC00619,0.0,0.0,0.0,-0.02587115,0.21428101
TBC1D13,0.0,0.0,0.0,-0.02587115,0.21428101
LINC00615,0.0,0.0,0.0,-0.02587115,0.21428101
LINC00616,0.0,0.0,0.0,-0.02587115,0.21428101
TNFRSF1B,0.00044070993,7.0,0.00044070993,-0.013040911,-0.7358129
TNFRSF1A,-0.055189043,35.0,-0.0015768298,-0.07177686,-5.216344
FAM174B,0.0,0.0,0.0,-0.02587115,0.21428101
FAM174A,0.0,0.0,0.0,-0.02587115,0.21428101
CYP19A1,-6.6972345e-05,2.0,-6.6972345e-05,-0.027820894,-0.059460327
SPRN,0.0,0.0,0.0,-0.02587115,0.21428101
SULT2B1,0.003305592,1.0,0.003305592,0.07036343,0.11698149
POLR2J4,0.0,0.0,0.0,-0.02587115,0.21428101
FBL,0.0,1.0,0.0,-0.02587115,0.07780718
SOGA3,0.0,0.0,0.0,-0.02587115,0.21428101
POLR2J2,2.910057e-05,2.0,2.910057e-05,-0.025023956,-0.058321774
POLR2J3,2.163816e-05,2.0,2.163816e-05,-0.025241205,-0.058410216
VMAC,0.0,0.0,0.0,-0.02587115,0.21428101
