,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
SLC35D2,mut_important,,,,,
SLC35D2,cnv_del,,,,,
SLC35D2,cnv_amp,,,,,
SLC35D2,promoter,,,,,
CHST1,mut_important,,,,,
CHST1,cnv_del,,,,,
CHST1,cnv_amp,,,,,
CHST1,promoter,,,,,
CHST3,mut_important,,,,,
CHST3,cnv_del,,,,,
CHST3,cnv_amp,,,,,
CHST3,promoter,,,,,
CHST2,mut_important,,,,,
CHST2,cnv_del,,,,,
CHST2,cnv_amp,,,,,
CHST2,promoter,,,,,
CHST5,mut_important,,,,,
CHST5,cnv_del,,,,,
CHST5,cnv_amp,,,,,
CHST5,promoter,,,,,
CHST4,mut_important,,,,,
CHST4,cnv_del,,,,,
CHST4,cnv_amp,,,,,
CHST4,promoter,,,,,
CHST7,mut_important,,,,,
CHST7,cnv_del,,,,,
CHST7,cnv_amp,,,,,
CHST7,promoter,,,,,
CHST6,mut_important,,,,,
CHST6,cnv_del,,,,,
CHST6,cnv_amp,,,,,
CHST6,promoter,,,,,
ITGAX,mut_important,,,,,
ITGAX,cnv_del,,,,,
ITGAX,cnv_amp,,,,,
ITGAX,promoter,,,,,
OR8J1,mut_important,,,,,
OR8J1,cnv_del,,,,,
OR8J1,cnv_amp,,,,,
OR8J1,promoter,,,,,
BCL2A1,mut_important,,,,,
BCL2A1,cnv_del,,,,,
BCL2A1,cnv_amp,,,,,
BCL2A1,promoter,,,,,
HLCS,mut_important,,,,,
HLCS,cnv_del,,,,,
HLCS,cnv_amp,,,,,
HLCS,promoter,,,,,
NOG,mut_important,,,,,
NOG,cnv_del,,,,,
NOG,cnv_amp,,,,,
NOG,promoter,,,,,
ITGAV,mut_important,,,,,
ITGAV,cnv_del,,,,,
ITGAV,cnv_amp,,,,,
ITGAV,promoter,,,,,
HIBCH,mut_important,,,,,
HIBCH,cnv_del,,,,,
HIBCH,cnv_amp,,,,,
HIBCH,promoter,,,,,
ZNF703,mut_important,,,,,
ZNF703,cnv_del,,,,,
ZNF703,cnv_amp,,,,,
ZNF703,promoter,,,,,
ITGAL,mut_important,,,,,
ITGAL,cnv_del,,,,,
ITGAL,cnv_amp,,,,,
ITGAL,promoter,,,,,
ITGAM,mut_important,,,,,
ITGAM,cnv_del,,,,,
ITGAM,cnv_amp,,,,,
ITGAM,promoter,,,,,
HLF,mut_important,,,,,
HLF,cnv_del,,,,,
HLF,cnv_amp,,,,,
HLF,promoter,,,,,
ITGAD,mut_important,,,,,
ITGAD,cnv_del,,,,,
ITGAD,cnv_amp,,,,,
ITGAD,promoter,,,,,
COPRS,mut_important,,,,,
COPRS,cnv_del,,,,,
COPRS,cnv_amp,,,,,
COPRS,promoter,,,,,
SMAD9,mut_important,,,,,
SMAD9,cnv_del,,,,,
SMAD9,cnv_amp,,,,,
SMAD9,promoter,,,,,
TRERF1,mut_important,,,,,
TRERF1,cnv_del,,,,,
TRERF1,cnv_amp,,,,,
TRERF1,promoter,,,,,
LRPAP1,mut_important,,,,,
LRPAP1,cnv_del,,,,,
LRPAP1,cnv_amp,,,,,
LRPAP1,promoter,,,,,
SMAD5,mut_important,,,,,
SMAD5,cnv_del,,,,,
SMAD5,cnv_amp,,,,,
SMAD5,promoter,,,,,
SMAD6,mut_important,,,,,
SMAD6,cnv_del,,,,,
SMAD6,cnv_amp,,,,,
SMAD6,promoter,,,,,
SMAD7,mut_important,,,,,
SMAD7,cnv_del,,,,,
SMAD7,cnv_amp,,,,,
SMAD7,promoter,,,,,
GOLPH3L,mut_important,,,,,
GOLPH3L,cnv_del,,,,,
GOLPH3L,cnv_amp,,,,,
GOLPH3L,promoter,,,,,
SMAD1,mut_important,,,,,
SMAD1,cnv_del,,,,,
SMAD1,cnv_amp,,,,,
SMAD1,promoter,,,,,
AFTPH,mut_important,,,,,
AFTPH,cnv_del,,,,,
AFTPH,cnv_amp,,,,,
AFTPH,promoter,,,,,
ZNF706,mut_important,,,,,
ZNF706,cnv_del,,,,,
ZNF706,cnv_amp,,,,,
ZNF706,promoter,,,,,
RFK,mut_important,,,,,
RFK,cnv_del,,,,,
RFK,cnv_amp,,,,,
RFK,promoter,,,,,
AMMECR1L,mut_important,,,,,
AMMECR1L,cnv_del,,,,,
AMMECR1L,cnv_amp,,,,,
AMMECR1L,promoter,,,,,
TMPRSS11A,mut_important,,,,,
TMPRSS11A,cnv_del,,,,,
TMPRSS11A,cnv_amp,,,,,
TMPRSS11A,promoter,,,,,
TMPRSS11B,mut_important,,,,,
TMPRSS11B,cnv_del,,,,,
TMPRSS11B,cnv_amp,,,,,
TMPRSS11B,promoter,,,,,
IGF2R,mut_important,,,,,
IGF2R,cnv_del,,,,,
IGF2R,cnv_amp,,,,,
IGF2R,promoter,,,,,
TMPRSS11D,mut_important,,,,,
TMPRSS11D,cnv_del,,,,,
TMPRSS11D,cnv_amp,,,,,
TMPRSS11D,promoter,,,,,
TMPRSS11E,mut_important,,,,,
TMPRSS11E,cnv_del,,,,,
TMPRSS11E,cnv_amp,,,,,
TMPRSS11E,promoter,,,,,
TMPRSS11F,mut_important,,,,,
TMPRSS11F,cnv_del,,,,,
TMPRSS11F,cnv_amp,,,,,
TMPRSS11F,promoter,,,,,
PAFAH1B1,mut_important,,,,,
PAFAH1B1,cnv_del,,,,,
PAFAH1B1,cnv_amp,,,,,
PAFAH1B1,promoter,,,,,
ABHD14B,mut_important,,,,,
ABHD14B,cnv_del,,,,,
ABHD14B,cnv_amp,,,,,
ABHD14B,promoter,,,,,
RAD21L1,mut_important,,,,,
RAD21L1,cnv_del,,,,,
RAD21L1,cnv_amp,,,,,
RAD21L1,promoter,,,,,
SLC36A4,mut_important,,,,,
SLC36A4,cnv_del,,,,,
SLC36A4,cnv_amp,,,,,
SLC36A4,promoter,,,,,
SLC36A3,mut_important,,,,,
SLC36A3,cnv_del,,,,,
SLC36A3,cnv_amp,,,,,
SLC36A3,promoter,,,,,
SLC36A2,mut_important,,,,,
SLC36A2,cnv_del,,,,,
SLC36A2,cnv_amp,,,,,
SLC36A2,promoter,,,,,
SLC36A1,mut_important,,,,,
SLC36A1,cnv_del,,,,,
SLC36A1,cnv_amp,,,,,
SLC36A1,promoter,,,,,
HAP1,mut_important,,,,,
HAP1,cnv_del,,,,,
HAP1,cnv_amp,,,,,
HAP1,promoter,,,,,
RNF112,mut_important,,,,,
RNF112,cnv_del,,,,,
RNF112,cnv_amp,,,,,
RNF112,promoter,,,,,
ERICH1,mut_important,,,,,
ERICH1,cnv_del,,,,,
ERICH1,cnv_amp,,,,,
ERICH1,promoter,,,,,
ARTN,mut_important,,,,,
ARTN,cnv_del,,,,,
ARTN,cnv_amp,,,,,
ARTN,promoter,,,,,
ART1,mut_important,,,,,
ART1,cnv_del,,,,,
ART1,cnv_amp,,,,,
ART1,promoter,,,,,
HRH3,mut_important,,,,,
HRH3,cnv_del,,,,,
HRH3,cnv_amp,,,,,
HRH3,promoter,,,,,
ART3,mut_important,,,,,
ART3,cnv_del,,,,,
ART3,cnv_amp,,,,,
ART3,promoter,,,,,
ART5,mut_important,,,,,
ART5,cnv_del,,,,,
ART5,cnv_amp,,,,,
ART5,promoter,,,,,
ART4,mut_important,,,,,
ART4,cnv_del,,,,,
ART4,cnv_amp,,,,,
ART4,promoter,,,,,
RNF111,mut_important,,,,,
RNF111,cnv_del,,,,,
RNF111,cnv_amp,,,,,
RNF111,promoter,,,,,
TCEA2,mut_important,,,,,
TCEA2,cnv_del,,,,,
TCEA2,cnv_amp,,,,,
TCEA2,promoter,,,,,
TCEA3,mut_important,,,,,
TCEA3,cnv_del,,,,,
TCEA3,cnv_amp,,,,,
TCEA3,promoter,,,,,
TCEA1,mut_important,,,,,
TCEA1,cnv_del,,,,,
TCEA1,cnv_amp,,,,,
TCEA1,promoter,,,,,
COX4I2,mut_important,,,,,
COX4I2,cnv_del,,,,,
COX4I2,cnv_amp,,,,,
COX4I2,promoter,,,,,
COX4I1,mut_important,,,,,
COX4I1,cnv_del,,,,,
COX4I1,cnv_amp,,,,,
COX4I1,promoter,,,,,
BFAR,mut_important,,,,,
BFAR,cnv_del,,,,,
BFAR,cnv_amp,,,,,
BFAR,promoter,,,,,
DUOXA2,mut_important,,,,,
DUOXA2,cnv_del,,,,,
DUOXA2,cnv_amp,,,,,
DUOXA2,promoter,,,,,
AIMP1,mut_important,,,,,
AIMP1,cnv_del,,,,,
AIMP1,cnv_amp,,,,,
AIMP1,promoter,,,,,
CRTAM,mut_important,,,,,
CRTAM,cnv_del,,,,,
CRTAM,cnv_amp,,,,,
CRTAM,promoter,,,,,
EDA,mut_important,,,,,
EDA,cnv_del,,,,,
