,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
C00486,6.1940136e-06,3.0,6.1940136e-06,-0.109804824,-0.13259345
C00487,-1.7665325e-05,3.0,-1.7665325e-05,-0.11056208,-0.13280019
C00488,4.758398e-05,2.0,4.758398e-05,-0.10849116,0.1567771
C00489,0.0007126498,3.0,0.0007126498,-0.08738294,-0.1264723
C00491,0.011581341,5.0,0.011581341,0.2575735,-0.61032325
C00492,-0.00016677963,3.0,-0.00016677963,-0.115294755,-0.1340922
C00497,0.000110799825,2.0,0.000110799825,-0.106484786,0.15732484
C00498,0.0012740823,3.0,0.0012740823,-0.069563895,-0.1216077
C00499,-1.2018659e-05,2.0,-1.2018659e-05,-0.11038287,0.15626067
C00500,-3.5772396e-07,2.0,-3.5772396e-07,-0.11001276,0.1563617
C00501,0.0053634895,3.0,0.0053634895,0.06022793,-0.086174585
C00502,8.282728e-05,2.0,8.282728e-05,-0.1073726,0.15708247
C00503,-1.3804137e-05,2.0,-1.3804137e-05,-0.11043953,0.15624519
C00504,0.0005952055,5.0,0.0005952055,-0.09111045,-0.7055138
C00506,0.02504746,4.0,0.02504746,0.6849685,-0.20463261
C00507,-0.0001231487,2.0,-0.0001231487,-0.113909975,0.15529776
C00508,5.0903152e-05,2.0,5.0903152e-05,-0.10838582,0.15680586
C00510,-4.0230847e-05,2.0,-4.0230847e-05,-0.11127828,0.15601623
C00512,-4.733308e-05,2.0,-4.733308e-05,-0.11150369,0.15595469
C00513,-0.00045278267,2.0,-0.00045278267,-0.124372065,0.1524416
C00514,0.00016941965,2.0,0.00016941965,-0.10462428,0.15783276
C00515,1.2993002e-07,2.0,1.2993002e-07,-0.10999729,0.15636593
