,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
GFPT1,0.0016089666,3.0,0.0016089666,0.02097015,-0.17607275,1
GFPT2,0.0026645616,3.0,0.0026645616,0.05170133,-0.16356298,1
GFRA1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFRA2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFRA3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFRA4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFRAL,0.0,0.0,0.0,-0.02587115,0.21428101,1
GFY,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGA1,2.900724e-10,1.0,2.900724e-10,-0.025871143,0.07780719,1
GGA2,-0.0005390477,1.0,-0.0005390477,-0.041564263,0.07141897,1
GGA3,1.219997e-05,1.0,1.219997e-05,-0.025515977,0.07795176,1
GGCT,-2.0933092e-05,1.0,-2.0933092e-05,-0.026480569,0.077559106,1
GGCX,-5.830769e-08,1.0,-5.830769e-08,-0.025872849,0.07780649,1
GGH,-1.8665725e-05,1.0,-1.8665725e-05,-0.02641456,0.07758598,1
GGN,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGNBP2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGPS1,9.332878e-05,1.0,9.332878e-05,-0.023154102,0.07891321,1
GGT1,0.00024710907,3.0,0.00024710907,-0.018677149,-0.19221202,1
GGT3P,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGT5,-0.00016943719,3.0,-0.00016943719,-0.030803919,-0.19714849,1
GGT6,0.00011969101,2.0,0.00011969101,-0.022386627,-0.057248197,1
GGT7,0.0024367569,2.0,0.0024367569,0.045069326,-0.029788837,1
GGT8P,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGTA1P,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGTLC1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GGTLC2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GH1,0.002737881,4.0,0.002737881,0.05383585,-0.29916793,1
GH2,0.021618553,4.0,0.021618553,0.60350245,-0.0754146,1
GHDC,0.0,0.0,0.0,-0.02587115,0.21428101,1
GHITM,0.0,0.0,0.0,-0.02587115,0.21428101,1
GHR,-4.611232e-05,4.0,-4.611232e-05,-0.027213603,-0.33216077,1
GHRH,0.0031175357,1.0,0.0031175357,0.06488861,0.11475285,1
GHRHR,0.0006104795,1.0,0.0006104795,-0.008098467,0.085041925,1
GHRL,-0.00421798,2.0,-0.00421798,-0.14866778,-0.108653575,1
GHSR,0.028519595,2.0,0.028519595,0.80441016,0.27931675,1
GID4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GID8,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIGYF1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIGYF2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP7,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIMAP8,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIN1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GINM1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GINS1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GINS2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GINS3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GINS4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIP,0.0019383992,3.0,0.0019383992,0.030560808,-0.17216867,1
GIPC1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIPC2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIPC3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GIPR,0.00028534143,2.0,0.00028534143,-0.017564101,-0.055285085,1
GIT1,-0.0003380614,3.0,-0.0003380614,-0.035713017,-0.19914684,1
GIT2,-3.7693935e-05,2.0,-3.7693935e-05,-0.026968522,-0.059113353,1
GJA1,-0.0035657743,2.0,-0.0035657743,-0.12968034,-0.10092434,1
GJA10,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJA3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJA4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJA5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJA8,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJB7,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJC1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJC2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJC3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJD2,0.007931399,1.0,0.007931399,0.20503299,0.17180155,1
GJD3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GJD4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GK,-8.294313e-06,2.0,-8.294313e-06,-0.02611262,-0.058764946,1
GK2,3.459897e-06,2.0,3.459897e-06,-0.025770424,-0.05862564,1
GK5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GKAP1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GKN1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GKN2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLA,0.0029740236,5.0,0.0029740236,0.06071059,-0.43284324,1
GLB1,0.0007250034,6.0,0.0007250034,-0.004764371,-0.59597,1
GLB1L,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLB1L2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLB1L3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLCCI1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLCE,1.7059785e-06,1.0,1.7059785e-06,-0.025821486,0.0778274,1
GLDC,0.00033963603,1.0,0.00033963603,-0.015983442,0.08183218,1
GLDN,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLE1,-4.671942e-05,3.0,-4.671942e-05,-0.027231276,-0.19569415,1
GLG1,0.0,1.0,0.0,-0.02587115,0.07780718,1
GLI1,0.023077283,4.0,0.023077283,0.64597,-0.0581273,1
GLI2,-0.000121128156,4.0,-0.000121128156,-0.029397512,-0.3330498,1
GLI3,6.732704e-06,4.0,6.732704e-06,-0.025675144,-0.33153453,1
GLI4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIPR1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIPR1L1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIPR1L2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIPR2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIS1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIS2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLIS3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLMN,1.4166043e-05,1.0,1.4166043e-05,-0.025458738,0.07797506,1
GLO1,2.6789455e-06,1.0,2.6789455e-06,-0.02579316,0.077838935,1
GLOD4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLOD5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLP1R,-0.00025992453,3.0,-0.00025992453,-0.033438247,-0.19822083,1
GLP2R,-0.012879691,1.0,-0.012879691,-0.40083325,-0.074829,1
GLRA1,0.0031926117,1.0,0.0031926117,0.06707428,0.11564257,1
GLRA2,0.005529949,1.0,0.005529949,0.13512038,0.14334217,1
GLRA3,0.0014459022,1.0,0.0014459022,0.016222911,0.09494245,1
GLRB,-0.0003314088,1.0,-0.0003314088,-0.035519347,0.07387968,1
GLRX,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLRX2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLRX3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLRX5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLS,7.010948e-05,7.0,7.010948e-05,-0.023830077,-0.74020493,1
GLS2,0.0518331,7.0,0.0518331,1.4831284,-0.12676586,1
GLT1D1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLT6D1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLT8D1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLT8D2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLTP,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLTPD2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GLUD1,0.0003373058,4.0,0.0003373058,-0.016051281,-0.32761693,1
