,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
OPA1,cnv_amp,2.4243786e-06,1.0016872e-05,4.128898e-08,9.760091e-07,0.0
OPA1,promoter,3.64471e-06,0.0015090076,1.591474e-07,0.00012899107,7.0888696e-06
RAB40C,mut_important,0.0,0.0,0.0,0.0,0.0
RAB40C,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB40C,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAB40C,promoter,0.0,0.0,0.0,0.0,0.0
RAB40B,mut_important,0.0,0.0,0.0,0.0,0.0
RAB40B,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB40B,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAB40B,promoter,0.0,0.0,0.0,0.0,0.0
RAB40A,mut_important,0.0,0.0,0.0,0.0,0.0
RAB40A,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB40A,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAB40A,promoter,0.0,0.0,0.0,0.0,0.0
KRTAP21-2,mut_important,0.0,0.0,0.0,0.0,0.0
KRTAP21-2,cnv_del,0.0,0.0,0.0,0.0,0.0
KRTAP21-2,cnv_amp,0.0,0.0,0.0,0.0,0.0
KRTAP21-2,promoter,0.0,0.0,0.0,0.0,0.0
FAM162B,mut_important,0.0,0.0,0.0,0.0,0.0
FAM162B,cnv_del,0.0,0.0,0.0,0.0,0.0
FAM162B,cnv_amp,0.0,0.0,0.0,0.0,0.0
FAM162B,promoter,0.0,0.0,0.0,0.0,0.0
COL7A1,mut_important,0.0,0.0,0.0,0.0,0.0
COL7A1,cnv_del,5.912023e-06,0.0,7.5385906e-05,9.975135e-06,6.3421503e-06
COL7A1,cnv_amp,0.0,0.0,0.0,0.0,0.0
COL7A1,promoter,0.0,0.0,0.0,0.0,0.0
MDP1,mut_important,0.0,0.0,0.0,0.0,0.0
MDP1,cnv_del,0.0,0.0,0.0,0.0,0.0
MDP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
MDP1,promoter,0.0,0.0,0.0,0.0,0.0
FAM187B,mut_important,0.0,0.0,0.0,0.0,0.0
FAM187B,cnv_del,0.0,0.0,0.0,0.0,0.0
FAM187B,cnv_amp,0.0,0.0,0.0,0.0,0.0
FAM187B,promoter,0.0,0.0,0.0,0.0,0.0
KLLN,mut_important,0.0,0.0,0.0,0.0,0.0
KLLN,cnv_del,0.0,0.0,0.0,0.0,0.0
KLLN,cnv_amp,0.0,0.0,0.0,0.0,0.0
KLLN,promoter,0.0,0.0,0.0,0.0,0.0
FAM183A,mut_important,0.0,0.0,0.0,0.0,0.0
FAM183A,cnv_del,0.0,0.0,0.0,0.0,0.0
FAM183A,cnv_amp,0.0,0.0,0.0,0.0,0.0
FAM183A,promoter,0.0,0.0,0.0,0.0,0.0
OVCH2,mut_important,0.0,0.0,0.0,0.0,0.0
OVCH2,cnv_del,0.0,0.0,0.0,0.0,0.0
OVCH2,cnv_amp,0.0,0.0,0.0,0.0,0.0
OVCH2,promoter,0.0,0.0,0.0,0.0,0.0
OVCH1,mut_important,0.0,0.0,0.0,0.0,0.0
OVCH1,cnv_del,0.0,0.0,0.0,0.0,0.0
OVCH1,cnv_amp,0.0,0.0,0.0,0.0,0.0
OVCH1,promoter,0.0,0.0,0.0,0.0,0.0
PSAP,mut_important,0.0,0.0,0.0,0.0,0.0
PSAP,cnv_del,0.0,0.0,0.0,0.0,0.0
PSAP,cnv_amp,1.9892059e-06,0.00016676492,9.670053e-06,1.1615816e-06,9.074396e-06
PSAP,promoter,2.7427e-06,0.00031606227,3.1759666e-06,3.9658465e-07,4.2458696e-06
SPPL2A,mut_important,0.0,0.0,0.0,0.0,0.0
SPPL2A,cnv_del,0.0,0.0,0.0,0.0,0.0
SPPL2A,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPPL2A,promoter,0.0,0.0,0.0,0.0,0.0
SPPL2C,mut_important,0.0,0.0,0.0,0.0,0.0
SPPL2C,cnv_del,0.0,0.0,0.0,0.0,0.0
SPPL2C,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPPL2C,promoter,0.0,0.0,0.0,0.0,0.0
SPPL2B,mut_important,0.0,0.0,0.0,0.0,0.0
SPPL2B,cnv_del,0.0,0.0,0.0,0.0,0.0
SPPL2B,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPPL2B,promoter,0.0,0.0,0.0,0.0,0.0
ITGA8,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA8,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA8,cnv_amp,0.00073742564,0.002258046,0.00404225,3.444902e-05,0.001846951
ITGA8,promoter,0.0,0.0,0.0,0.0,0.0
ITGA9,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA9,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA9,cnv_amp,0.0,0.0,0.0,0.0,0.0
ITGA9,promoter,2.4257983e-05,5.206381e-05,1.1841956e-05,2.5046504e-05,0.000166868
UGCG,mut_important,0.0,0.0,0.0,0.0,0.0
UGCG,cnv_del,0.0,0.0,0.0,0.0,0.0
UGCG,cnv_amp,1.8624476e-06,5.0358583e-05,1.4334838e-06,3.6879567e-07,0.00038450115
UGCG,promoter,1.19757e-07,9.085507e-05,1.8962321e-06,5.997277e-07,0.0001767664
MYO3B,mut_important,0.0,0.0,0.0,0.0,0.0
MYO3B,cnv_del,0.0,0.0,0.0,0.0,0.0
MYO3B,cnv_amp,0.0,0.0,0.0,0.0,0.0
MYO3B,promoter,0.0,0.0,0.0,0.0,0.0
ATP2A1,mut_important,0.0,0.0,0.0,0.0,0.0
ATP2A1,cnv_del,0.0,0.0,0.0,0.0,0.0
ATP2A1,cnv_amp,0.0033591003,0.008002366,0.0038961114,0.0015805239,4.2892003e-05
ATP2A1,promoter,0.00013284892,0.0014843831,2.678559e-05,0.0001334036,8.605257e-05
ATP2A2,mut_important,0.0,0.0,0.0,0.0,0.0
ATP2A2,cnv_del,0.0,0.0,0.0,0.0,0.0
ATP2A2,cnv_amp,0.0,0.0,0.0,0.0,0.0
ATP2A2,promoter,3.5430446e-06,2.1661606e-05,0.000162204,1.072498e-05,0.0001853195
ATP2A3,mut_important,0.0,0.0,0.0,0.0,0.0
ATP2A3,cnv_del,0.0,0.0,0.0,0.0,0.0
ATP2A3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ATP2A3,promoter,2.8683513e-05,0.00044581396,1.0051003e-05,6.626912e-05,0.0004857283
ITGA1,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA1,cnv_del,0.0,0.0003521408,0.00013032138,2.6947748e-07,1.0245862e-05
ITGA1,cnv_amp,2.512596e-06,0.00020321774,0.0002256805,6.3757506e-09,0.0
ITGA1,promoter,6.741759e-05,0.0026722997,0.00069351954,2.675034e-07,1.8167286e-05
ITGA2,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA2,cnv_del,0.0,9.073841e-05,2.731239e-05,1.1491164e-05,0.00053180323
ITGA2,cnv_amp,0.00014627927,0.00015297066,2.514671e-05,1.236688e-05,0.0
ITGA2,promoter,4.3101893e-05,2.6156618e-05,2.8600156e-05,6.821812e-06,0.0011939093
ITGA3,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA3,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA3,cnv_amp,9.023932e-07,0.0025180606,0.000966162,0.0002618171,0.00047456153
ITGA3,promoter,3.9661572e-05,0.00019618863,0.0002273518,9.7151176e-05,3.3982124e-05
ITGA4,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA4,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA4,cnv_amp,0.0,0.0,0.0,0.0,0.0
ITGA4,promoter,0.0044101784,0.10082907,0.019339567,9.332525e-05,0.007829002
ITGA5,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA5,cnv_del,0.0,0.0,0.0,0.0,0.0
