,coef
PRKACG,-0.0026070974
DEK,0.0
PRKACA,-0.00674263
PSMB9,0.0
PSMB8,0.0
PSMB7,-0.0024107166
PSMB6,-0.0021452338
PSMB5,-0.00065012847
C14orf119,0.0
PSMB3,0.0012725848
PSMB2,-0.0068145767
PSMB1,-0.0015538522
PFKFB2,-0.005285546
LMBR1L,0.0
TMA7,0.0
HDHD3,0.0
SPG7,0.0
SPRYD7,0.0
FTMT,-0.00011404681
PFKFB4,0.00044652537
TDGF1,0.0
R3HDM4,0.0
TBC1D31,0.0
RMI1,0.0
RMI2,0.0
CORO7,0.0
CIART,0.0
KCNK9,0.0013205761
KCNK4,0.0
KCNK5,0.00092586817
KCNK6,0.0
TRAT1,0.0
FAM155B,0.0
CRY1,-3.6159754e-06
CRY2,3.8845003e-05
LTN1,0.0
RETSAT,-3.5346708e-05
TRIML2,0.0
TRIML1,0.0
NACC2,0.0
ACOT11,0.0
ACOT12,-0.00048228644
ACOT13,0.0
VPS13A,0.0
SH3KBP1,-3.143949e-05
VPS13C,0.0
VPS13B,0.0
BEX5,0.0
BEX4,0.0
BEX2,0.0
BEX1,0.0
SCAF11,0.0
NUP160,0.00036561012
TMEM160,0.0
TMEM163,0.0
TMEM165,0.0
TMEM164,0.0
TMEM169,0.0
TMEM168,0.0
EVI2B,0.0
FOXN1,0.0
FOXN2,0.0
REPIN1,0.0
DPCD,0.0
NICN1,0.0
EIF3K,0.0
XYLB,-2.2172739e-05
PMVK,0.006213095
PLSCR2,0.0
GRIN2B,0.028886776
GRIN2C,0.0020112628
GNA14,3.91696e-05
GRIN2A,0.01663915
GNA12,-0.004788235
KLHDC8B,0.0
GRIN2D,0.00045260802
GNA11,-0.00613797
SH2B2,-0.00026456706
SH2B3,-2.4903791e-05
TAP1,-0.0027427964
TAP2,0.00020279024
PRKAR1B,1.9557197e-05
MFGE8,0.0
DUSP26,0.0
C19orf18,0.0
IL6ST,0.00067735766
SBF1,0.0
SBF2,0.0
