,,coef
ITGAM,promoter,0.0
HLF,mut_important,0.0
HLF,cnv_del,0.0
HLF,cnv_amp,0.0
HLF,promoter,0.0
ITGAD,mut_important,0.0
ITGAD,cnv_del,0.0
ITGAD,cnv_amp,-2.0008529e-05
ITGAD,promoter,0.0
COPRS,mut_important,0.0
COPRS,cnv_del,0.0
COPRS,cnv_amp,0.0
COPRS,promoter,0.0
SMAD9,mut_important,0.0
SMAD9,cnv_del,0.0
SMAD9,cnv_amp,0.0
SMAD9,promoter,0.0
TRERF1,mut_important,0.0
TRERF1,cnv_del,0.0
TRERF1,cnv_amp,0.0
TRERF1,promoter,0.0
LRPAP1,mut_important,0.0
LRPAP1,cnv_del,0.0
LRPAP1,cnv_amp,0.0
LRPAP1,promoter,7.1953155e-10
SMAD5,mut_important,0.0
SMAD5,cnv_del,0.0
SMAD5,cnv_amp,0.0
SMAD5,promoter,0.0
SMAD6,mut_important,0.0
SMAD6,cnv_del,0.0
SMAD6,cnv_amp,0.0
SMAD6,promoter,0.0
SMAD7,mut_important,0.0
SMAD7,cnv_del,0.0
SMAD7,cnv_amp,0.0
SMAD7,promoter,0.0
GOLPH3L,mut_important,0.0
GOLPH3L,cnv_del,0.0
GOLPH3L,cnv_amp,0.0
GOLPH3L,promoter,0.0
SMAD1,mut_important,0.0
SMAD1,cnv_del,0.0
SMAD1,cnv_amp,0.0
SMAD1,promoter,0.0
AFTPH,mut_important,0.0
AFTPH,cnv_del,0.0
AFTPH,cnv_amp,0.0
AFTPH,promoter,0.0
ZNF706,mut_important,0.0
ZNF706,cnv_del,0.0
ZNF706,cnv_amp,0.0
ZNF706,promoter,0.0
RFK,mut_important,0.0
RFK,cnv_del,0.0
RFK,cnv_amp,0.0
RFK,promoter,5.7421107e-06
AMMECR1L,mut_important,0.0
AMMECR1L,cnv_del,0.0
AMMECR1L,cnv_amp,0.0
AMMECR1L,promoter,0.0
TMPRSS11A,mut_important,0.0
TMPRSS11A,cnv_del,0.0
TMPRSS11A,cnv_amp,0.0
TMPRSS11A,promoter,0.0
TMPRSS11B,mut_important,0.0
TMPRSS11B,cnv_del,0.0
TMPRSS11B,cnv_amp,0.0
TMPRSS11B,promoter,0.0
IGF2R,mut_important,0.0
IGF2R,cnv_del,0.0
IGF2R,cnv_amp,0.0
IGF2R,promoter,8.4051544e-07
TMPRSS11D,mut_important,0.0
TMPRSS11D,cnv_del,0.0
TMPRSS11D,cnv_amp,4.2389518e-05
TMPRSS11D,promoter,0.0
TMPRSS11E,mut_important,0.0
TMPRSS11E,cnv_del,0.0
TMPRSS11E,cnv_amp,0.0
TMPRSS11E,promoter,0.0
TMPRSS11F,mut_important,0.0
TMPRSS11F,cnv_del,0.0
TMPRSS11F,cnv_amp,0.0
TMPRSS11F,promoter,0.0
PAFAH1B1,mut_important,0.0
PAFAH1B1,cnv_del,0.0
PAFAH1B1,cnv_amp,0.0
PAFAH1B1,promoter,2.6875998e-07
ABHD14B,mut_important,0.0
ABHD14B,cnv_del,0.0
ABHD14B,cnv_amp,0.0
ABHD14B,promoter,0.0
RAD21L1,mut_important,0.0
RAD21L1,cnv_del,0.0
RAD21L1,cnv_amp,0.0
RAD21L1,promoter,0.0
SLC36A4,mut_important,0.0
SLC36A4,cnv_del,0.0
SLC36A4,cnv_amp,9.808705e-05
SLC36A4,promoter,-0.00010742352
SLC36A3,mut_important,0.0
SLC36A3,cnv_del,0.0
SLC36A3,cnv_amp,0.0
SLC36A3,promoter,0.0
SLC36A2,mut_important,0.0
SLC36A2,cnv_del,0.0
SLC36A2,cnv_amp,0.0
SLC36A2,promoter,0.0
SLC36A1,mut_important,0.0
SLC36A1,cnv_del,0.0
SLC36A1,cnv_amp,0.0
SLC36A1,promoter,-3.2853786e-05
HAP1,mut_important,0.0
HAP1,cnv_del,0.0
HAP1,cnv_amp,-1.6087359e-05
HAP1,promoter,1.8393654e-05
RNF112,mut_important,0.0
RNF112,cnv_del,0.0
RNF112,cnv_amp,0.0
RNF112,promoter,0.0
ERICH1,mut_important,0.0
ERICH1,cnv_del,0.0
